,Unnamed: 0,District,Census Year,Persons,Absolute change since previous census,Percentage change since previous census,Males,Females,Decade,Growth Rate
212,227,Rupnagar,1981,439165.0,81382.0,22.74618973,233407.0,205758.0,1980,22.746189729528798
213,228,Rupnagar,1991,535970.0,96805.0,22.04296791,284088.0,251882.0,1990,22.042967905001532
214,229,Rupnagar,2001,628846.0,92876.0,17.32858182,332949.0,295897.0,2000,17.328581823609525
215,230,Rupnagar,2011,684627.0,55781.0,8.870375259,357485.0,327142.0,2010,8.870375258807407
222,238,Sahibzada Ajit Singh Nagar,1961,236753.0,48134.0,25.51916827,129984.0,106769.0,1960,25.51916827042875
223,239,Sahibzada Ajit Singh Nagar,1971,295199.0,58446.0,24.68648761,161214.0,133985.0,1970,24.686487605225693
224,240,Sahibzada Ajit Singh Nagar,1981,407161.0,111962.0,37.92763526,221314.0,185847.0,1980,37.92763525621699
225,241,Sahibzada Ajit Singh Nagar,1991,548276.0,141115.0,34.65828014,295678.0,252598.0,1990,34.658280139797284
226,242,Sahibzada Ajit Singh Nagar,2001,746987.0,198711.0,36.24287767,405560.0,341427.0,2000,36.24287767474777
227,243,Sahibzada Ajit Singh Nagar,2011,994628.0,247641.0,33.15198256,529253.0,465375.0,2010,33.15198256462295
234,251,Sangrur,1961,696418.0,131266.0,23.22667176,380548.0,315870.0,1960,23.226671762640837
235,252,Sangrur,1971,836497.0,140079.0,20.11421302,454936.0,381561.0,1970,20.114213015746294
236,253,Sangrur,1981,1026166.0,189669.0,22.67419967,552304.0,473862.0,1980,22.674199668378957
237,254,Sangrur,1991,1244677.0,218511.0,21.29392321,665630.0,579047.0,1990,21.293923205407307
238,255,Sangrur,2001,1473242.0,228565.0,18.3633987,787795.0,685447.0,2000,18.363398697011355
239,256,Sangrur,2011,1655169.0,181927.0,12.34875194,878029.0,777140.0,2010,12.348751936205993
246,264,Barnala,1961,242368.0,54179.0,28.78967421,131955.0,110413.0,1960,28.789674210501136
247,265,Barnala,1971,292463.0,50095.0,20.6689827,158673.0,133790.0,1970,20.668982703987314
248,266,Barnala,1981,362663.0,70200.0,24.00303628,194351.0,168312.0,1980,24.003036281512525
249,267,Barnala,1991,440772.0,78109.0,21.53762584,235640.0,205132.0,1990,21.537625839967124
250,268,Barnala,2001,526931.0,86159.0,19.54729429,281494.0,245437.0,2000,19.547294292740915
251,269,Barnala,2011,595527.0,68596.0,13.01802323,317522.0,278005.0,2010,13.018023232643362
